SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP
PAST SALE,Condo/Co-op,621 Main St Unit 3A,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,50 E Court St #408,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1223 Jackson St,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1615-16-1617 Pleasant St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1517 Elm St Unit A,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1824 Elm St #1,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #407,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1432 Elm St Unit 3A,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1909 Race St #1,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,30 E Central Pkwy #1003,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1207 Vine St Unit K,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1415 Vine St #305,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1908 Dunlap St #2,Cincinnati,OH,45214
PAST SALE,Condo/Co-op,1 Mercer St #303,Cincinnati,OH,45202
